Tick;Step;DateTime;Area;Camp;Crop_YieldA;Crop_YieldB;Fire_Data;Harvest_Data;Latitude;Longitude;Patch_ID;Patch_Population;test_count;X;Y;ID
73;73;2001-05-26T00:00:00.0000000;11.7633;Hartman;2023917.1994575518;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;1264338;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
74;74;2001-06-02T00:00:00.0000000;11.7633;Hartman;2023917.1994575518;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;1291196;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
75;75;2001-06-09T00:00:00.0000000;11.7633;Hartman;2023917.1994575518;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;1318160;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
76;76;2001-06-16T00:00:00.0000000;11.7633;Hartman;2023917.1994575518;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;1344870;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
77;77;2001-06-23T00:00:00.0000000;11.7633;Hartman;2023917.1994575518;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;1371483;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
78;78;2001-06-30T00:00:00.0000000;11.7633;Hartman;2023917.1994575518;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;1398075;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
79;79;2001-07-07T00:00:00.0000000;11.7633;Hartman;2023917.1994575518;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;1424609;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
80;80;2001-07-14T00:00:00.0000000;11.7633;Hartman;2023917.1994575518;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;1451693;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
81;81;2001-07-21T00:00:00.0000000;11.7633;Hartman;2023917.1994575518;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;1478924;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
82;82;2001-07-28T00:00:00.0000000;11.7633;Hartman;2023917.1994575518;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;1506018;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
83;83;2001-08-04T00:00:00.0000000;11.7633;Hartman;2023917.1994575518;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;1533294;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
84;84;2001-08-11T00:00:00.0000000;11.7633;Hartman;2023917.1994575518;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;1560282;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
85;85;2001-08-18T00:00:00.0000000;11.7633;Hartman;2023917.1994575518;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;1587378;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
86;86;2001-08-25T00:00:00.0000000;11.7633;Hartman;2023917.1994575518;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;1614585;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
